abs_depth_change_m_count,abs_depth_change_m_max,abs_depth_change_m_mean,abs_depth_change_m_median,abs_depth_change_m_p90,abs_depth_change_m_std,abs_depth_change_m_variance,abs_distance_change_m_count,abs_distance_change_m_max,abs_distance_change_m_mean,abs_distance_change_m_median,abs_distance_change_m_p90,abs_distance_change_m_std,abs_distance_change_m_variance,camera_id,distance_bin_end_m,distance_bin_start_m,lateral_change_m_count,lateral_change_m_max,lateral_change_m_mean,lateral_change_m_median,lateral_change_m_p90,lateral_change_m_std,lateral_change_m_variance,matched_predictions,model,model_score_count,model_score_max,model_score_mean,model_score_median,model_score_p90,model_score_std,model_score_variance,normalized_center_change_count,normalized_center_change_max,normalized_center_change_mean,normalized_center_change_median,normalized_center_change_p90,normalized_center_change_std,normalized_center_change_variance,projected_center_change_px_count,projected_center_change_px_max,projected_center_change_px_mean,projected_center_change_px_median,projected_center_change_px_p90,projected_center_change_px_std,projected_center_change_px_variance,relative_translation_change_count,relative_translation_change_max,relative_translation_change_mean,relative_translation_change_median,relative_translation_change_p90,relative_translation_change_std,relative_translation_change_variance,rotation_change_deg_count,rotation_change_deg_max,rotation_change_deg_mean,rotation_change_deg_median,rotation_change_deg_p90,rotation_change_deg_std,rotation_change_deg_variance,translation_change_m_count,translation_change_m_max,translation_change_m_mean,translation_change_m_median,translation_change_m_p90,translation_change_m_std,translation_change_m_variance
4,22.67729662500001,13.040904812500013,12.997193687500015,20.83937730000001,7.233676957706133,52.326082328448656,4,27.978129228945306,16.553659017786792,16.72067591317831,26.202144482310363,9.02516795659259,81.45365664470566,front,190.0,180.0,4,16.397315640165612,10.291041818596913,10.663399716819528,15.949534964682583,5.4881103957317725,30.119355715739154,4,scipy_graph_camera_anchored,4,1.0,0.75593044325,0.789772975,0.9405420142,0.19958779236122065,0.03983528685962573,4,0.025587997893739618,0.011262835986769457,0.007075806300297612,0.02030440551904607,0.008326300222134297,6.932727538911365e-05,0,nan,nan,nan,nan,nan,nan,4,0.15502407981517632,0.0907262013003721,0.0904768442981971,0.1442681192015679,0.04962703407747194,0.002462842511326561,4,177.09874874374464,122.31823660911888,153.50865685019767,172.09887990538445,68.50045880926713,4692.312857080103,4,27.98449110527931,16.64486820398288,16.84659454311049,26.27101822095144,9.020229517979239,81.36454055702396
1,36.85516025000001,36.85516025000001,36.85516025000001,36.85516025000001,0.0,0.0,1,46.551830056358256,46.551830056358256,46.551830056358256,46.551830056358256,0.0,0.0,front,200.0,190.0,1,28.501190327763307,28.501190327763307,28.501190327763307,28.501190327763307,0.0,0.0,1,scipy_graph_camera_anchored,1,0.924887051,0.924887051,0.924887051,0.924887051,0.0,0.0,1,0.016431110969685796,0.016431110969685796,0.016431110969685796,0.016431110969685796,0.0,0.0,0,nan,nan,nan,nan,nan,nan,1,0.2362236506315736,0.2362236506315736,0.2362236506315736,0.2362236506315736,0.0,0.0,1,136.43130895852923,136.43130895852923,136.43130895852923,136.43130895852923,0.0,0.0,1,46.589920445870796,46.589920445870796,46.589920445870796,46.589920445870796,0.0,0.0
3,44.309141249999996,32.83896858333333,28.055210499999987,41.05835509999999,8.147746976582273,66.38578079440556,3,54.45971033426724,42.30211112642635,36.49284743648394,50.866337754710585,8.599537331848895,73.9520423218628,front,210.0,200.0,3,31.677536779607298,26.817139833999793,24.758879641353847,30.293805351956607,3.4502108086221632,11.9039546239332,3,scipy_graph_camera_anchored,3,1.0,0.6665131873333333,0.514808582,0.9029617164,0.23613026941704152,0.05575750413496461,3,0.04183637996295584,0.022559152980898025,0.01870211089199629,0.03720952614876393,0.014425329065368048,0.0002080901186441522,0,nan,nan,nan,nan,nan,nan,3,0.26957335727823006,0.20762207722619064,0.17915462521248451,0.251489610865081,0.04385401412390718,0.0019231745547798502,3,158.28823183487305,143.96443689063972,146.49117485933564,155.92882043976556,12.851666115289058,165.16532193886894,3,54.46803039155927,42.47040169523056,36.92986879453521,50.960398072154454,8.491852669326517,72.1115617575479
3,46.831290499999994,40.34398829166667,41.656346375,45.796301674999995,5.905987762334608,34.88069144884615,3,58.14423606636336,49.3906836393341,51.399338421120575,56.795256537314806,8.092887373709274,65.494826043543,front,220.0,210.0,3,34.466578066188596,28.475507981035076,30.14787851204676,33.60283815536023,5.6984812607017865,32.472688678569426,3,scipy_graph_camera_anchored,3,0.568038586,0.5072388973333334,0.486939198,0.5518187084,0.043775674641622006,0.0019163096903291477,3,0.012455358800545342,0.0064692465290775575,0.00464533331153041,0.010893353702742355,0.004339128196470586,1.882803350540608e-05,0,nan,nan,nan,nan,nan,nan,3,0.268923210123471,0.22757031758584537,0.2356723708588768,0.26227304227055215,0.037512205363065834,0.0014071655512008254,3,137.90689691471115,93.42440215209366,135.7446704123156,137.47445161423204,61.38516952902837,3768.139038107553,3,58.14735396807032,49.399530986119906,51.42125797849666,56.80213477015559,8.095163033251715,65.53166453492513
1,37.16802237499999,37.16802237499999,37.16802237499999,37.16802237499999,0.0,0.0,1,43.58474411399041,43.58474411399041,43.58474411399041,43.58474411399041,0.0,0.0,front,230.0,220.0,1,22.794334591759778,22.794334591759778,22.794334591759778,22.794334591759778,0.0,0.0,1,scipy_graph_camera_anchored,1,0.607832752,0.607832752,0.607832752,0.607832752,0.0,0.0,1,0.008233953320391525,0.008233953320391525,0.008233953320391525,0.008233953320391525,0.0,0.0,0,nan,nan,nan,nan,nan,nan,1,0.19487605903842897,0.19487605903842897,0.19487605903842897,0.19487605903842897,0.0,0.0,1,143.77619419505731,143.77619419505731,143.77619419505731,143.77619419505731,0.0,0.0,1,43.60095843842881,43.60095843842881,43.60095843842881,43.60095843842881,0.0,0.0
1,53.062522625,53.062522625,53.062522625,53.062522625,0.0,0.0,1,68.13779442647456,68.13779442647456,68.13779442647456,68.13779442647456,0.0,0.0,front,240.0,230.0,1,42.762355114495364,42.762355114495364,42.762355114495364,42.762355114495364,0.0,0.0,1,scipy_graph_camera_anchored,1,0.416759492,0.416759492,0.416759492,0.416759492,0.0,0.0,1,0.009874380814424074,0.009874380814424074,0.009874380814424074,0.009874380814424074,0.0,0.0,0,nan,nan,nan,nan,nan,nan,1,0.2934187460382052,0.2934187460382052,0.2934187460382052,0.2934187460382052,0.0,0.0,1,137.19153259774504,137.19153259774504,137.19153259774504,137.19153259774504,0.0,0.0,1,68.14873676207685,68.14873676207685,68.14873676207685,68.14873676207685,0.0,0.0
3,0.41048192562499963,0.18451881229166656,0.11112847718749919,0.35061123593749954,0.16301730228267272,0.026574640843520295,3,0.46715238358102873,0.2611126554670798,0.1900079679804385,0.4117235004609107,0.14800417936997148,0.021905237110978693,front,10.0,0.0,3,0.46109338128325117,0.36232046793579326,0.38819378921797576,0.4465134628701961,0.09302723789776632,0.00865406699088761,3,selector_camera_anchored,3,0.147111267,0.0809218586,0.0596127249,0.12961155858,0.0477819911003226,0.002283118673511308,3,0.05820920554671549,0.04059602056078702,0.048919044375983656,0.05635117331256913,0.018727732891378204,0.00035072797925080897,0,nan,nan,nan,nan,nan,nan,3,0.05238023546188515,0.04758672415575532,0.05023346574615848,0.05195088151873982,0.005333552751301018,2.8446784950910655e-05,3,48.3609302023599,25.88547173289437,16.412646439996454,41.971273449887214,15.957747564185592,254.64970732227118,3,0.47432526017752347,0.4460424205873179,0.4742959463301728,0.47431939740805334,0.039977249101877714,0.0015981804457535827
81,5.842991721874999,0.8331464265933642,0.676282409375002,1.5346832968750004,0.9179202392434788,0.8425775656128054,81,6.920263907075473,1.0142542276821689,0.832927881018465,1.769345584295559,1.088576059873888,1.1849978381305586,front,20.0,10.0,81,3.9665470430564818,0.69541341793607,0.5817300110690093,1.1651708660456328,0.5994214892659502,0.3593061217938096,81,selector_camera_anchored,81,0.168428525,0.06716001019234567,0.0652192086,0.0889438391,0.024988938477687007,0.0006244470462416262,81,0.18722688245081318,0.0355396811282347,0.027735504713274822,0.06591812720929847,0.029553621471957964,0.0008734165421077748,0,nan,nan,nan,nan,nan,nan,81,0.6258384745751268,0.08796933420746257,0.07072233077934814,0.13277572993661443,0.08378959679964096,0.007020696531846402,81,177.32498923336848,21.982913582663887,13.670809475610247,41.14786828889759,34.39628008359555,1183.1040835891517,81,7.062156023954716,1.12580712638389,0.9527745796694396,1.7859043587400691,1.054596980642692,1.1121747915806828
36,6.933154803124999,3.5720586211805547,3.4954139609374995,6.152824301562498,1.8301166778919253,3.349327054698177,36,7.0818067024295495,3.6308326095878516,3.595234039689018,6.217230580615441,1.8790907799159597,3.53098215916517,front,30.0,20.0,36,1.8745716501945229,0.8555005189475595,0.7361384696988692,1.4302789178955866,0.37476596493558334,0.14044952847409886,36,selector_camera_anchored,36,0.270642191,0.16772617835000003,0.1609581635,0.23058231899999998,0.04690136320996158,0.0021997378709527377,36,0.036996113906664144,0.023936768570915295,0.023642632462599865,0.030532532544751308,0.005333419946081888,2.8445368321264126e-05,0,nan,nan,nan,nan,nan,nan,36,0.24867096190712148,0.14640618155703553,0.15102743982703332,0.22375468516617597,0.06275174707270134,0.003937781760676282,36,23.708990312463136,16.988819454296436,18.873029498023364,22.23651483468325,5.796243897624524,33.59644332074953,36,7.0935687655391595,3.69361312679134,3.6321029861533827,6.238893053713063,1.8271514944954184,3.338482583836841
20,10.966527031250003,5.61228840390625,5.800368082812499,8.246434823125,2.4914005773316084,6.207076836728272,20,11.095349485681798,5.699086674824594,5.855875210883825,8.325680551872237,2.4597406075107395,6.050323856237303,front,40.0,30.0,20,1.7337839752473183,0.942980193221658,0.9720558569732318,1.2876692497247852,0.37694322863504787,0.14208619761381397,20,selector_camera_anchored,20,0.311402947,0.15582087747,0.16551248000000002,0.2706408532,0.07086790501162936,0.005022259960737322,20,0.020376038291545606,0.014395346781140317,0.015174714075082738,0.018208612953864108,0.0037649589457862506,1.4174915863455915e-05,0,nan,nan,nan,nan,nan,nan,20,0.29487009169564427,0.16290683020710453,0.17521759243671065,0.23080036763773257,0.066896364289755,0.004475123555187607,20,179.38030368902056,36.574799792909346,19.278522961632994,62.099752775223905,47.96169210122659,2300.323909212861,20,11.102734888303935,5.724174445072911,5.8756279933254305,8.337076338481168,2.4433548105310545,5.969982730145246
19,14.436345156249999,6.335362918421052,6.426643012499994,9.229072459999998,2.9480704655954653,8.691119470116263,19,14.554625234089514,6.401270294420716,6.499793951106646,9.328004333705206,2.970427461687148,8.823439305145154,front,50.0,40.0,19,1.8770422327484386,0.9565018570665602,0.8943416832239851,1.4397053659484296,0.376322495215682,0.14161862040535703,19,selector_camera_anchored,19,0.344060361,0.22851362054736843,0.22883828,0.3274365366,0.08235349415609429,0.006782097999717857,19,0.013783768074147497,0.006658626295676921,0.006565418763195941,0.009050224429551492,0.002511383540818732,6.307047289095232e-06,0,nan,nan,nan,nan,nan,nan,19,0.2913800489876548,0.14115786231998506,0.14892919158006102,0.2084982056472143,0.06131173716669634,0.003759129114398054,19,23.10243926464424,11.667311820190996,7.6156413362192055,20.450660840304124,7.353754633264304,54.077707206256214,19,14.557862103135339,6.408858217287601,6.508118167814938,9.332203956723111,2.9683317792832913,8.81099355190311
14,12.616717362499998,6.169172183482144,5.897850290624998,10.348888651875006,3.43632158175026,11.808306013202607,14,12.753323730220387,6.224262152332079,5.964783407559899,10.427137887904601,3.4661652790003954,12.014301741347888,front,60.0,50.0,14,1.9045370062088307,0.8962711483680289,0.903401952480331,1.3165501694224626,0.43367050510821464,0.18807010700081403,14,selector_camera_anchored,14,0.33257997,0.23082678047857144,0.253250249,0.3314838882,0.0978779714465854,0.009580097294498586,14,0.009805955006048554,0.006023611546650336,0.005602365348619767,0.008641800636013636,0.0018825936423804094,3.5441588223311367e-06,0,nan,nan,nan,nan,nan,nan,14,0.24848581116087992,0.11428300914835443,0.10419436397778883,0.19256952221887566,0.06471344950945061,0.0041878305474122145,14,168.1946859586246,21.460879718755695,6.7096739458604695,23.78034366224328,41.400595549296625,1714.0093118364396,14,12.75965588145808,6.237258549792456,5.968841132625657,10.4323963294124,3.457595885017667,11.954969304091106
11,12.456511037500007,5.120359024431821,3.8293187187500024,8.042311175000002,3.168635475566965,10.040250777021486,11,12.580639621539397,5.2134471459691065,3.9230493566231246,8.172039497747086,3.1987300900602182,10.23187418905665,front,70.0,60.0,11,1.776017895687933,1.0094019638619212,0.8789786517634424,1.6765102242457444,0.4414980919353225,0.19492056518253048,11,selector_camera_anchored,11,0.356516182,0.23947769602727273,0.241832301,0.292708725,0.0706517941588337,0.004991676017862207,11,0.005233300034569275,0.0039013483750446136,0.0035957390160774733,0.004912884368370765,0.0007022197731743219,4.93112609836996e-07,0,nan,nan,nan,nan,nan,nan,11,0.18637409722319917,0.07968677849882116,0.05904862224914851,0.1280260065072622,0.04824194006090131,0.0023272847808395946,11,20.791178064377615,8.25008926714301,5.650847048026279,20.168872406229344,5.935148425858744,35.22598683697352,11,12.582484126481674,5.222960590637544,3.9289038318626535,8.175015016474983,3.1926200642387483,10.19282287457983
10,13.260221412500002,5.707307126250001,4.95231315625,7.981470593749991,2.848265187359398,8.112614577523464,10,13.400320625392226,5.8879799435724625,5.130928055934817,8.293453090063773,2.8645207999969537,8.205479413615187,front,80.0,70.0,10,2.2594812744334707,1.4332158629500324,1.3727838202351017,1.9857449401334306,0.45606997411942735,0.2079998212932951,10,selector_camera_anchored,10,0.378172547,0.2371420264,0.2334210425,0.3731788367,0.08272631951412586,0.0068436439403532405,10,0.004753026123556968,0.003843345203894743,0.003991011719242027,0.004585098095031563,0.0007490963018132841,5.611452693903388e-07,0,nan,nan,nan,nan,nan,nan,10,0.1897530422728071,0.0788270960908152,0.0654745015500848,0.10994107202269505,0.04099666953604486,0.0016807269130476687,10,177.27955894471975,25.593780427515263,6.206518216554269,37.837459278194345,50.857214094947025,2586.4562254992784,10,13.403373442818896,5.895399910835165,5.139262744201869,8.299522006567557,2.862225818012467,8.192336633297137
2,11.946252262499996,7.1311094125000025,7.1311094125000025,10.983223692499998,4.815142849999994,23.185600665906062,2,12.513971626969436,7.478083171891669,7.478083171891669,11.506793935953883,5.035888455077767,25.360172531985544,front,90.0,80.0,2,3.738026107095551,2.2934692246473545,2.2934692246473545,3.449114730605912,1.4445568824481967,2.0867445866284533,2,selector_camera_anchored,2,0.220622763,0.16168833900000001,0.16168833900000001,0.2088358782,0.058934424,0.003473266332211776,2,0.004558938320738821,0.004358529390917782,0.004358529390917782,0.004518856534774613,0.00020040892982103875,4.016373915201403e-08,0,nan,nan,nan,nan,nan,nan,2,0.1523275269929115,0.09147620052934817,0.09147620052934817,0.14015726170019882,0.060851326463563324,0.003702883932375162,2,12.406494356554798,7.812128122710176,7.812128122710176,11.487621109785874,4.594366233844623,21.108201090691622,2,12.517419154786428,7.492033671392452,7.492033671392452,11.512342058107633,5.0253854833939755,25.2544992567069
1,17.289112200000005,17.289112200000005,17.289112200000005,17.289112200000005,0.0,0.0,1,17.42813421957584,17.42813421957584,17.42813421957584,17.42813421957584,0.0,0.0,front,100.0,90.0,1,2.2286255014593332,2.2286255014593332,2.2286255014593332,2.2286255014593332,0.0,0.0,1,selector_camera_anchored,1,0.0372562148,0.0372562148,0.0372562148,0.0372562148,0.0,0.0,1,0.004573587963144406,0.004573587963144406,0.004573587963144406,0.004573587963144406,0.0,0.0,0,nan,nan,nan,nan,nan,nan,1,0.1898762637180622,0.1898762637180622,0.1898762637180622,0.1898762637180622,0.0,0.0,1,47.511379236851454,47.511379236851454,47.511379236851454,47.511379236851454,0.0,0.0,1,17.43215914021966,17.43215914021966,17.43215914021966,17.43215914021966,0.0,0.0
2,13.966540999999978,12.476696624999988,12.476696624999988,13.66857212499998,1.48984437499999,2.2196362617191103,2,16.33407101589401,14.629187964160636,14.629187964160636,15.993094405547335,1.7048830517333755,2.9066262200877078,front,180.0,170.0,2,8.479703844876106,7.647902588019893,7.647902588019893,8.313343593504863,0.8318012568562123,0.6918933309075745,2,selector_camera_anchored,2,0.106162816,0.0708094629,0.0708094629,0.09909214538,0.03535335309999999,0.0012498595754132792,2,0.0031268631779987036,0.0028934163603876423,0.0028934163603876423,0.0030801738144764913,0.00023344681761106132,5.449741665273213e-08,0,nan,nan,nan,nan,nan,nan,2,0.09089104802959604,0.08309828842850106,0.08309828842850106,0.08933249610937705,0.007792759601094983,6.0727102200458033e-05,2,178.51408305997253,176.13675121757345,176.13675121757345,178.0386166914927,2.3773318423990872,5.651706688884638,2,16.339205757976334,14.634317871159542,14.634317871159542,15.998228180612976,1.7048878868167927,2.9066427066146288
